,Token,N_Ocorrencia,Length
1276,ope,1,3
1277,antonio,5,7
1278,profit,2,6
1279,dedic,1,5
1280,ingeni,2,6
1281,terman,1,6
1282,someth,6,6
1283,citizen,6,7
1284,effect,4,6
1285,hollow,2,6
1286,encount,2,7
1287,esteem,1,6
1288,redress,1,7
1289,ambit,1,5
1290,drift,1,5
1291,damnd,2,5
1292,mornal,1,6
1293,undon,1,5
1294,ane,1,3
1295,amplement,1,9
1296,int,2,3
1297,eveng,1,5
1298,rage,2,4
1299,ink,1,3
1300,poetri,1,6
1301,law,3,3
1302,thi,96,3
1303,bedright,1,8
1304,fe,1,2
1305,helena,2,6
1306,discret,1,7
1307,monour,1,6
1308,athallot,1,8
1309,breast,4,6
1310,without,18,7
1311,place,10,5
1312,natur,8,5
1313,glove,2,5
1314,physic,1,6
1315,necessari,1,9
1316,nut,1,3
1317,catch,2,5
1318,fland,1,5
1319,heed,3,4
1320,milthi,1,6
1321,ophelia,3,7
1322,bewitchd,1,8
1323,cours,2,5
1324,wateri,1,6
1325,ax,1,2
1326,hamlet,3,6
1327,hair,3,4
1328,ambiti,1,6
1329,gageous,1,7
1330,obser,1,5
1331,gloss,1,5
1332,pixtur,1,6
1333,face,16,4
1334,toe,2,3
1335,glad,6,4
1336,differ,2,6
1337,privi,1,5
1338,fond,1,4
1339,breedingwomen,1,13
1340,belong,1,6
1341,th,1,2
1342,walk,5,4
1343,eight,2,5
1344,spleen,1,6
1345,past,5,4
1346,weak,3,4
1347,remuner,1,7
1348,coin,1,4
1349,contru,1,6
1350,swear,14,5
1351,consum,1,6
1352,shes,7,4
1353,larg,1,4
1354,bullset,1,7
1355,deputi,3,6
1356,forestem,1,8
1357,hear,22,4
1358,stake,1,5
1359,cloten,1,6
1360,shepherd,5,8
1361,touch,2,5
1362,mean,8,4
1363,chang,4,5
1364,speedshrewd,1,11
1365,showledg,1,8
1366,mouth,8,5
1367,tongu,8,5
1368,wretch,1,6
1369,suffolk,4,7
1370,huntr,1,5
1371,jealousi,1,8
1372,theyr,2,5
1373,remembr,2,7
1374,lusti,2,5
1375,buri,1,4
1376,scurvi,1,6
1377,lather,1,6
1378,wedg,1,4
1379,dog,2,3
1380,branch,3,6
1381,presenc,1,7
1382,induc,2,5
1383,vacus,1,5
1384,pricketh,1,8
1385,vision,1,6
1386,shourd,1,6
1387,caught,1,6
1388,vassal,1,6
1389,alon,6,4
1390,rivel,1,5
1391,sale,1,4
1392,pack,1,4
1393,coldbelli,1,9
1394,woundeth,1,8
1395,u,41,1
1396,permit,1,6
1397,demetrius,2,9
1398,minut,4,5
1399,groan,1,5
1400,de,1,2
1401,rue,1,3
1402,selfsweet,1,9
1403,cobweb,1,6
1404,drame,1,5
1405,rudesti,1,7
1406,trueh,1,5
1407,advers,1,6
1408,harm,2,4
1409,decius,1,6
1410,snown,1,5
1411,wall,4,4
1412,land,5,4
1413,lay,8,3
1414,savantri,1,8
